id;term_greek_transliterated;translation_eng;from;term_greek;hisco_major;harris_sector
215;τοκιστής;lender or usurer;harris;tokistḗs;4;Finance
216;τοξοποιός;bowyer;lewis;toxopoiós;8;Miscellaneous Services
217;τορνευτής;lathe-turner;lewis;torneutḗs;8;Building
218;τραπεζίτης;banker;harris;trapezítēs;3;Finance
219;τραπεζοποιός;table attendant, one who lays out the table;harris;trapezopoiós;5;Miscellaneous Services
220;τριηραύλης;flute-player for a trireme;harris;triēraúlēs;1;Performing Arts
221;τροφός;nurse;harris;trophós;6;Miscellaneous Services
222;τροχοποιός;wheelwright;lewis;trochopoiós;8;Transport
223;τρυγήτρια;one who gathers fruit;harris;trygḗtria;6;Food-Production
224;τυλυφάντης;cushion-maker;lewis;tylyphántēs;7;Household Goods
225;τυροπώλης;cheesemonger;lewis;tyropṓlēs;4;Food-Retail
226;ὑλοτόμος;woodcutter;lewis;hylotómos;9;Building
227;ὑλοφόρος;wood-transporter;lewis;hylophóros;9;Transport
228;ὑπηρέτης;assistant to architect;harris;hypērétēs;0;Building
229;ὑπογραμματεύς;undersecretary;harris;hypogrammateús;3;Building
230;ὑποδηματοποιός;maker of hypodêmata;lewis;hypodēmatopoiós;8;Clothing
231;ὑποδιδάσκαλος;assistant teacher;harris;hypodidáskalos;1;Education
232;ὑποκριτής;reciter, declaimer, actor;harris;hypokritḗs;1;Performing Arts
233;ὑφαντικός;weaver;lewis;hyphantikós;7;Clothing
234;φαρμακοπώλης;seller of potions and drugs;lewis;pharmakopṓlēs;4;Retail
235;φαρμακοτρίβης;drug-grinder;lewis;pharmakotríbēs;7;Clothing
236;φορτηγός;trader;harris;phortēgós;4;Transport
237;χαλκεύς;smith;lewis;chalkeús;8;Metal-Working
238;χαριτόπολις;charm-seller;harris;charitópolis;4;Retail
239;χιδροπώλης;wheaten-groat seller;lewis;chidropṓlēs;4;Food-Retail
240;χοιροπώλης;pig-dealer;lewis;choiropṓlēs;4;Food-Retail
241;χοροδιδάσκαλος;chorus-trainer;harris;chorodidáskalos;1;Education
242;χρηματιστής;business-man;harris;chrēmatistḗs;4;Retail
243;χρυσοπώλης;gold-seller;lewis;chrysopṓlēs;4;Retail
244;χρυσοχόος;goldsmith;lewis;chrysochóos;8;Metal-Working
245;χρυσώτης;gilder;harris;chrysṓtēs;7;Metal-Working
246;χρυσωτρία;gilder;harris;chrysōtría;7;Metal-Working
247;ψάλτρια;harp-player;lewis;psáltria;1;Performing Arts
